TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE
AcceptDisplayDtls,trntype,int,,NO
AcceptDisplayDtls,Index,int,,NO
AcceptDisplayDtls,AcptCap,varchar,50,YES
AcceptDisplayDtls,DispCap,varchar,50,YES
AcceptDisplayDtls,AcptVisible,bit,,YES
AcceptDisplayDtls,DispVisible,bit,,YES
AcceptDisplayDtls,AcptPos,int,,YES
AcceptDisplayDtls,DispPos,int,,YES
AcceptDisplayDtls,AcptDataType,int,,YES
AcceptDisplayDtls,DispDataType,int,,YES
AcceptDisplayDtls,AcptWidth,real,,YES
AcceptDisplayDtls,DispWidth,real,,YES
AcceptDisplayDtls,AcptAlign,int,,YES
AcceptDisplayDtls,DispAlign,int,,YES
AcceptDisplayDtls,AcptFontName,varchar,50,YES
AcceptDisplayDtls,DispFontName,varchar,50,YES
AcceptDisplayDtls,AcptFourColour,varchar,50,YES
AcceptDisplayDtls,DispFourColour,varchar,50,YES
AcceptDisplayDtls,AcptFontSize,real,,YES
AcceptDisplayDtls,DispFontSize,real,,YES
AcceptDisplayDtls,AcptRowHight,real,,YES
AcceptDisplayDtls,DispRowHight,real,,YES
AcceptDisplayDtls,AcptBackColour,varchar,50,YES
AcceptDisplayDtls,DispBackColour,varchar,50,YES
AcceptDisplayDtls,VAUid,varchar,32,YES
AcceptDisplayDtls,VActr,int,,YES
AcceptDisplayDtls,VATermId,varchar,32,YES
AcceptDisplayDtls,VACompCode,varchar,16,YES
AcceptDisplayDtls,columnName,varchar,50,YES
AcceptDisplayDtls,CustmTableName,varchar,64,YES
AcceptDisplayDtls,FieldInd,int,,YES
AcceptDisplayDtls,LinkId,int,,YES
AcceptDisplayDtls,AcptFontBold,bit,,YES
AcceptDisplayDtls,DispFontBold,bit,,YES
AccountsMaster,Type,varchar,8,NO
AccountsMaster,Code,varchar,16,NO
AccountsMaster,Nm,varchar,50,YES
AccountsMaster,YrOpBalDb,money,,YES
AccountsMaster,YrOpBalCr,money,,YES
AccountsMaster,CurBalDb,money,,YES
AccountsMaster,CurBalCr,money,,YES
AccountsMaster,VAUid,varchar,32,YES
AccountsMaster,VActr,int,,YES
AccountsMaster,VATermId,varchar,32,YES
AccountsMaster,VACompCode,varchar,16,YES
AccountSummary,Type,varchar,8,NO
AccountSummary,Code,varchar,16,NO
AccountSummary,Yr,int,,NO
AccountSummary,MonthNo,int,,NO
AccountSummary,MonthOpBalDb,money,,YES
AccountSummary,MonthOpBalCr,money,,YES
AccountSummary,DbAmt,money,,YES
AccountSummary,CrAmt,money,,YES
AccountSummary,TransPresent,bit,,YES
AccountSummary,VAUid,varchar,32,YES
AccountSummary,VActr,int,,YES
AccountSummary,VATermId,varchar,32,YES
AccountSummary,VACompCode,varchar,16,YES
ActualScheduleTask,Task_Id,varchar,16,NO
ActualScheduleTask,Task_SubNo,numeric,,NO
ActualScheduleTask,Task_Location,varchar,16,NO
ActualScheduleTask,ShowroomCode,varchar,32,NO
ActualScheduleTask,Task_Name,varchar,50,YES
ActualScheduleTask,Task_Level,int,,YES
ActualScheduleTask,Schedule_Type,int,,YES
ActualScheduleTask,Day_WeekNumber,int,,YES
ActualScheduleTask,Sch_Run_Type,int,,YES
ActualScheduleTask,StartTime,datetime,,YES
ActualScheduleTask,Interval,numeric,,YES
ActualScheduleTask,WaitDelay,numeric,,YES
ActualScheduleTask,LastExecutedTime,datetime,,YES
ActualScheduleTask,LastExecutedStatus,varchar,16,YES
ActualScheduleTask,Remarks,varchar,100,YES
ActualScheduleTask,Actstatus,varchar,1,YES
ActualScheduleTask,VAUid,varchar,32,YES
ActualScheduleTask,VActr,int,,YES
ActualScheduleTask,VATermId,varchar,32,YES
ActualScheduleTask,VACOMPCODE,varchar,32,YES
AdditionalChargeDtls,PayModeCode,varchar,16,NO
AdditionalChargeDtls,SchemeCode,varchar,16,NO
AdditionalChargeDtls,AddnlChrgCd,varchar,16,NO
AdditionalChargeDtls,Applicable,smallint,,YES
AdditionalChargeDtls,PercentOrAmt,smallint,,YES
AdditionalChargeDtls,AddnlChrgValue,float,,YES
AdditionalChargeDtls,DateInsert,datetime,,YES
AdditionalChargeDtls,VaUid,varchar,32,YES
AdditionalChargeDtls,VaCtr,int,,YES
AdditionalChargeDtls,VaTermId,varchar,32,YES
AdditionalChargeDtls,VaCompCode,varchar,16,YES
AgencyCatDtl,AgencyCode,varchar,16,NO
AgencyCatDtl,PayModeType,int,,NO
AgencyCatDtl,PayModeCode,varchar,16,NO
AgencyCatDtl,IssuedByAgency,bit,,YES
AgencyCatDtl,CanSubmitToAgency,bit,,YES
AgencyCatDtl,AgencyCommRate,money,,YES
AgencyCatDtl,OnlineSubReal,bit,,YES
AgencyCatDtl,VAUid,varchar,32,YES
AgencyCatDtl,VActr,int,,YES
AgencyCatDtl,VATermId,varchar,32,YES
AgencyCatDtl,VACompCode,varchar,16,YES
AgencyCatHdr,AgencyId,varchar,16,NO
AgencyCatHdr,AgencyNm,varchar,50,YES
AgencyCatHdr,AccountId,varchar,16,YES
AgencyCatHdr,OnlineAuthPresent,bit,,YES
AgencyCatHdr,AllowCrdtCard,bit,,YES
AgencyCatHdr,AllowGiftCpn,bit,,YES
AgencyCatHdr,VAUid,varchar,32,YES
AgencyCatHdr,VActr,int,,YES
AgencyCatHdr,VATermId,varchar,32,YES
AgencyCatHdr,VACompCode,varchar,16,YES
AgentActivity,ActvIndex,int,,NO
AgentActivity,Task_Id,varchar,16,NO
AgentActivity,ActvExe,varchar,50,YES
AgentActivity,PgmDesc,varchar,50,YES
