TABLE_NAME,COLUMN_NAME,DATA_TYPE
ActualScheduleTask,StartTime,datetime
ActualScheduleTask,LastExecutedTime,datetime
AdditionalChargeDtls,DateInsert,datetime
AgentActivity,ActvDate,datetime
BaleDtl,DCDate,datetime
BillDueStatusDtls,RecvDocDate,datetime
BillDueStatusDtls,RecvDocTime,datetime
BillDueStatusDtls,DateInsert,datetime
BillDueStatusHdr,DocDt,datetime
BillDueStatusHdr,DateInsert,datetime
BillPassdtls,Trndt,datetime
BillPassdtls,InvDt,datetime
BillPassdtls,DcDt,datetime
BillPassHdr,Trndt,datetime
BillPassHdr,InvDt,datetime
Class12Combo,Dateinsert,datetime
Class12Combo,Lastupdateddate,datetime
ConFinSchemeDtls,StartDate,datetime
ConFinSchemeDtls,EndDate,datetime
ConFinSchemeDtls,DateInsert,datetime
crdtinvrcvdtls,recvdocdt,datetime
crdtinvrcvdtls,recvdoctime,datetime
crdtinvrcvdtls,poscashdocdt,datetime
crdtinvrcvdtls,salerefdocdt,datetime
crdtinvrcvdtls,XD1,datetime
crdtinvrcvdtls,XD2,datetime
crdtinvrcvdtls,XD3,datetime
crdtinvrcvdtls,XD4,datetime
crdtinvrcvdtls,CD1,datetime
crdtinvrcvdtls,CD2,datetime
crdtinvrcvdtls,CD3,datetime
crdtinvrcvdtls,CD4,datetime
crdtinvrcvhdr,recvdocdt,datetime
crdtinvrcvhdr,recvdoctime,datetime
crdtinvrcvhdr,XD1,datetime
crdtinvrcvhdr,XD2,datetime
crdtinvrcvhdr,XD3,datetime
crdtinvrcvhdr,XD4,datetime
crdtinvrcvhdr,CD1,datetime
crdtinvrcvhdr,CD2,datetime
crdtinvrcvhdr,CD3,datetime
crdtinvrcvhdr,CD4,datetime
crdtsalecustopbal,trndt,datetime
crdtsalecustopbal,trntime,datetime
crdtsalecustopbal,cutoffdt,datetime
CRMFinalCustomer,QueryExeDate,datetime
CRMQryInfo,QueryCreationDate,datetime
CRMQryInfo,QueryLastExecDate,datetime
CurrencyCat,RateDate,datetime
CurrencyCat,RateTime,datetime
CustomerImport,BirthDate,datetime
CustomerImport,WedAnniv,datetime
CustomerImport,LSTDate,datetime
CustomerImport,CSTDate,datetime
Customers,BirthDate,datetime
Customers,WedAnniv,datetime
Customers,DtOfCreation,datetime
Customers,LSTDate,datetime
Customers,CSTDate,datetime
Customers,Lastupdateddate,datetime
DashBoardConfig,FromDate,datetime
DashBoardConfig,ToDate,datetime
Datasyncconfig,modecrtdt,datetime
Datasyncconfig,IncrDownloadFromDt,datetime
DayBeginPgms,PgmDate,datetime
DayEndPgms,PgmDate,datetime
DcRefNoDtls,DcDate,datetime
DeliveryAdviceDtls,DeliveryExptdDateTime,datetime
DeliveryAdviceDtls,DeliveredDateTime,datetime
DeliveryAdviceDtls,RescheduleDateTime,datetime
DeliveryAdviceDtls,DateInsert,datetime
DeliveryAdviceHdr,DocDate,datetime
DeliveryAdviceHdr,DeliveryExptdDateTime,datetime
DeliveryAdviceHdr,DateInsert,datetime
DeliveryNoteDtls,DateInsert,datetime
DeliveryNoteDtlsExtd01,DateInsert,datetime
DeliveryNoteHdr,DocDate,datetime
DeliveryNoteHdr,DateInsert,datetime
DiscountDtls72,ValidityStDt,datetime
DiscountDtls72,ValidityStTm,datetime
DiscountDtls72,ValidityEndDt,datetime
DiscountDtls72,ValidityEndTm,datetime
DiscountDtls72,AppStTm,datetime
DiscountDtls72,AppEndTm,datetime
DiscountDtls72,SF_MfgDate,datetime
DiscountDtls72,SF_ExpDate,datetime
